dimension,coverage,timeBF,costBF,nodesBF,timeAS,costAS,nodesAS
3,12,1,0,1,0,0,1
3,23,0,4,2,0,4,2
3,34,0,-1,0,0,-1,0
3,45,0,-1,0,0,-1,0
3,56,0,-1,0,0,-1,0
3,67,0,-1,0,0,-1,0
3,78,0,-1,0,0,-1,0
3,89,0,-1,0,0,-1,0
3,100,0,-1,0,0,-1,0
4,7,0,0,1,0,0,1
4,13,0,3,2,0,3,2
4,19,0,6,3,0,6,4
4,25,0,9,4,0,9,6
4,32,0,13,5,0,13,8
4,38,0,-1,0,0,-1,0
4,44,0,-1,0,0,-1,0
4,50,0,-1,0,0,-1,0
4,57,0,-1,0,0,-1,0
4,63,0,-1,0,0,-1,0
4,69,0,-1,0,0,-1,0
4,75,0,-1,0,0,-1,0
4,82,0,-1,0,0,-1,0
4,88,0,-1,0,0,-1,0
4,94,0,-1,0,0,-1,0
4,100,0,-1,0,0,-1,0
5,4,0,0,1,0,0,1
5,8,0,3,2,0,3,2
5,12,0,6,3,0,6,4
5,16,0,9,4,0,9,6
5,20,0,13,5,0,13,8
5,24,0,16,6,0,16,13
5,28,0,20,7,0,19,23
5,32,0,23,8,0,23,32
5,36,0,27,9,0,26,56
5,40,0,30,10,0,30,119
5,44,0,33,11,0,33,121
5,48,0,36,12,0,36,164
5,52,0,40,13,0,39,346
5,56,0,43,14,0,43,574
5,60,0,46,15,0,46,576
5,64,0,49,16,1,49,761
5,68,0,53,17,3,53,2060
5,72,0,56,18,3,56,2062
5,76,0,60,19,3,59,3336
5,80,0,63,20,5,63,5162
5,84,0,67,21,3,66,5164
5,88,0,70,22,9,70,13568
5,92,0,73,23,9,73,13570
5,96,0,76,24,9,76,14956
5,100,0,80,25,23,80,31980
6,3,0,0,1,0,0,1
6,6,0,3,2,0,3,2
6,9,0,6,3,0,6,4
6,12,0,9,4,0,9,6
6,14,0,13,5,0,13,8
6,17,0,16,6,0,16,16
6,20,0,19,7,0,19,18
6,23,0,22,8,0,22,26
6,25,0,26,9,0,26,128
6,28,0,29,10,0,29,130
6,31,0,32,11,0,32,244
6,34,0,35,12,0,35,346
6,37,0,39,13,0,39,1123
6,39,0,42,14,0,42,1484
6,42,0,45,15,1,45,1545
6,45,0,48,16,1,48,1579
6,48,0,52,17,7,52,9881
6,50,0,55,18,7,55,9883
6,53,0,58,19,8,58,10113
6,56,0,61,20,10,61,15059
6,59,0,65,23,46,65,84100
6,62,0,68,24,40,68,84169
6,64,0,72,25,42,71,86357
6,67,0,75,26,51,74,102324
6,70,0,78,27,289,78,563848
6,73,0,81,28,278,81,563850
6,75,0,85,29,306,84,569768
6,78,0,88,30,301,87,590816
6,81,0,91,31,1681,91,2992541
6,84,0,94,32,1667,94,2992543
6,87,0,98,35,1749,97,3014893
6,89,0,101,36,2106,100,3627259
6,92,0,104,45,7270,104,12589480
6,95,0,107,46,7365,107,12658792
6,98,0,111,625,7685,110,12671514
6,100,0,114,626,8129,113,13194962
7,3,0,0,1,0,0,1
7,5,0,3,2,0,3,2
7,7,0,6,3,0,6,4
7,9,0,9,4,0,9,6
7,11,0,12,5,0,12,9
7,13,0,15,6,0,15,15
7,15,0,18,7,0,18,17
7,17,0,21,8,0,21,19
7,19,0,24,9,0,24,22
7,21,0,28,10,0,28,80
7,23,0,31,11,0,31,83
7,25,0,34,12,0,34,128
7,27,0,37,13,0,37,294
7,29,0,41,14,0,41,1275
7,31,0,44,15,0,44,1289
7,33,0,47,16,0,47,1297
7,35,0,50,17,0,50,2104
7,37,0,54,18,0,53,2199
7,39,0,57,19,2,56,5219
7,41,0,60,20,8,60,20943
7,43,0,63,21,97,63,21148
7,45,0,66,22,9,66,21163
7,47,0,69,23,10,69,25219
7,49,0,73,25,16,72,36400
7,52,0,76,26,20,75,41779
7,54,0,79,27,242,79,464885
7,56,0,83,29,240,82,469509
7,58,0,86,30,256,85,482420
7,60,0,89,31,259,88,489551
7,62,0,93,34,394,91,689211
7,64,0,96,35,382,94,689967
7,66,0,99,36,4831,98,7480032
7,68,0,102,37,4907,101,7482164
7,70,0,106,38,5013,104,7498398
7,72,0,109,39,5068,107,7592686
7,74,0,113,41,5049,110,7593961
7,76,0,116,42,7636,113,11436561
7,78,0,119,43,30000,-100,0
7,80,0,124,97,30000,-100,0
7,82,0,127,98,30000,-100,0
7,84,0,130,382,30000,-100,0
7,86,0,133,383,30000,-100,0
7,88,0,135,1799,30000,-100,0
7,90,1,140,1847,30000,-100,0
7,92,1,143,1848,30000,-100,0
7,94,2,146,5698,30000,-100,0
7,96,2,149,5699,30000,-100,0
7,98,176,151,402239,30000,-100,0
7,100,378,157,858767,30000,-100,0
8,2,0,0,1,0,0,1
8,4,0,3,2,0,3,2
8,5,0,6,3,0,6,4
8,7,0,9,4,0,9,6
8,8,0,12,5,0,12,9
8,10,0,15,6,0,15,15
8,11,0,18,7,0,18,17
8,13,0,21,8,0,21,19
8,15,0,24,9,0,24,22
8,16,0,28,10,0,28,80
8,18,0,31,11,0,31,107
8,19,0,34,12,0,34,118
8,21,0,37,13,0,37,128
8,22,0,40,14,0,40,156
8,24,0,43,15,0,43,248
8,25,0,46,16,0,46,254
8,27,0,49,17,0,49,1498
8,29,0,52,18,0,52,1506
8,30,0,56,19,1,56,4672
8,32,0,59,20,1,59,4702
8,33,0,62,21,1,62,4752
8,35,0,65,22,2,65,4781
8,36,0,69,23,10,68,19859
8,38,0,72,24,9,71,19867
8,40,0,75,25,96,75,182991
8,41,0,78,26,115,78,209591
8,43,0,81,27,144,81,250611
8,44,0,84,28,142,84,254191
8,46,0,87,29,146,87,254205
8,47,0,90,30,301,90,489130
8,49,0,93,31,486,93,489152
8,50,0,97,32,865,96,1319995
8,52,0,100,33,854,99,1320007
8,54,0,103,34,6922,103,10033908
8,55,0,106,35,7200,106,10583055
8,57,0,109,36,7539,109,10818057
8,58,0,112,37,7545,112,10953081
8,60,0,115,38,7675,115,10953103
8,61,0,118,39,11771,118,16105455
8,63,0,121,40,13366,121,18077259
8,65,0,125,41,14377,124,19408630
8,66,0,128,42,14415,127,19408656
8,68,0,131,43,30000,-100,0
8,69,0,134,44,30000,-100,0
8,71,0,137,53,30000,-100,0
8,72,0,141,55,30000,-100,0
8,74,0,144,56,30000,-100,0
8,75,0,147,57,30000,-100,0
8,77,0,150,58,30000,-100,0
8,79,0,153,59,30000,-100,0
8,80,0,157,62,30000,-100,0
8,82,0,160,63,30000,-100,0
8,83,0,163,64,30000,-100,0
8,85,0,166,65,30000,-100,0
8,86,0,170,77,30000,-100,0
8,88,0,173,78,30000,-100,0
8,90,0,176,115,30000,-100,0
8,91,0,179,116,30000,-100,0
8,93,0,185,1493,30000,-100,0
8,94,23,188,45753,30000,-100,0
8,96,23,191,45778,30000,-100,0
8,97,22,194,45779,30000,-100,0
8,99,23,199,46912,30000,-100,0
8,100,23,202,46913,30000,-100,0
9,2,0,0,1,0,0,1
9,3,0,3,2,0,3,2
9,4,0,6,3,0,6,4
9,5,0,9,4,0,9,6
9,7,0,12,5,0,12,9
9,8,0,15,6,0,15,13
9,9,0,18,7,0,18,17
9,10,0,21,8,0,21,32
9,12,0,24,9,0,24,43
9,13,0,28,10,0,28,81
9,14,0,31,11,0,31,128
9,15,0,34,12,0,34,192
9,17,0,37,13,0,37,210
9,18,0,40,14,0,40,217
9,19,0,43,15,0,43,261
